,vegalta-sendai,kashiwa-reysol
ExpG,0.937,1.253
Shots,9,10
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,331,533
Crosses,8,21
DirectFK,14,16
IndirectFK,3,0
CK,3,5
Throwin,26,32
Dribbling,10,10
Tackles,22,24
Clearances,36,15
Intercepts,2,2
Offsides,0,3
YellowCards,2,2
RedCards,0,0
30mLineEntries,25,50
PenaltyAreaEntries,4,16
DistanceCovered,118267,114621
Sprints,208,205
Attacks,122,124
ChanceBuildingRate,7.4,8.1
Possession,41,59
