,nagoya-grampus-eight,urawa-red-diamonds
ExpG,0.654,0.996
Shots,9,8
ShotsOnTarget,3,2
ShotsFromPK,0,0
Passes,477,597
Crosses,8,17
DirectFK,10,11
IndirectFK,3,2
CK,3,4
Throwin,20,21
Dribbling,12,13
Tackles,14,19
Clearances,19,11
Intercepts,3,0
Offsides,2,3
YellowCards,3,0
RedCards,0,0
30mLineEntries,33,53
PenaltyAreaEntries,5,9
DistanceCovered,117608,120174
Sprints,176,179
Attacks,111,106
ChanceBuildingRate,8.1,7.5
Possession,43.7,56.3
