,yokohama-fa-marinos,fc-tokyo
ExpG,3.619,0.434
Shots,22,4
ShotsOnTarget,11,0
ShotsFromPK,2,0
Passes,745,355
Crosses,25,8
DirectFK,8,15
IndirectFK,2,0
CK,9,1
Throwin,19,23
Dribbling,11,11
Tackles,23,23
Clearances,13,22
Intercepts,3,1
Offsides,0,2
YellowCards,0,3
RedCards,0,1
30mLineEntries,86,21
PenaltyAreaEntries,37,5
DistanceCovered,122507,111328
Sprints,215,211
Attacks,118,120
ChanceBuildingRate,18.6,3.3
Possession,61.8,38.2
