,kawasaki-frontale,kashiwa-reysol
ExpG,0.859,0.691
Shots,14,7
ShotsOnTarget,7,0
ShotsFromPK,0,0
Passes,615,370
Crosses,12,18
DirectFK,17,7
IndirectFK,2,3
CK,7,7
Throwin,21,23
Dribbling,12,13
Tackles,27,24
Clearances,23,15
Intercepts,3,1
Offsides,3,2
YellowCards,1,0
RedCards,0,0
30mLineEntries,32,42
PenaltyAreaEntries,19,5
DistanceCovered,118271,115243
Sprints,208,178
Attacks,137,131
ChanceBuildingRate,10.2,5.3
Possession,57.8,42.2
