,sagan-tosu,sanfrecce-hiroshima
ExpG,0.901,0.614
Shots,10,10
ShotsOnTarget,3,2
ShotsFromPK,0,0
Passes,667,393
Crosses,19,9
DirectFK,7,5
IndirectFK,2,2
CK,7,3
Throwin,19,22
Dribbling,11,6
Tackles,15,12
Clearances,9,23
Intercepts,2,3
Offsides,2,2
YellowCards,0,1
RedCards,0,0
30mLineEntries,60,34
PenaltyAreaEntries,13,9
DistanceCovered,125328,121475
Sprints,185,189
Attacks,115,115
ChanceBuildingRate,8.7,8.7
Possession,61.4,38.6
