,yokohama-fa-marinos,urawa-red-diamonds
ExpG,2.573,0.855
Shots,21,8
ShotsOnTarget,8,2
ShotsFromPK,0,0
Passes,624,635
Crosses,11,13
DirectFK,12,9
IndirectFK,0,1
CK,5,2
Throwin,13,24
Dribbling,8,10
Tackles,19,23
Clearances,18,14
Intercepts,2,1
Offsides,1,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,53,28
PenaltyAreaEntries,13,8
DistanceCovered,125429,120389
Sprints,225,195
Attacks,117,125
ChanceBuildingRate,17.9,6.4
Possession,46.3,53.7
