,urawa-red-diamonds,kawasaki-frontale
ExpG,0.48,1.853
Shots,6,15
ShotsOnTarget,1,8
ShotsFromPK,0,0
Passes,604,525
Crosses,7,16
DirectFK,6,10
IndirectFK,0,0
CK,7,5
Throwin,28,14
Dribbling,8,12
Tackles,19,24
Clearances,16,19
Intercepts,1,4
Offsides,0,0
YellowCards,0,0
RedCards,0,0
30mLineEntries,32,48
PenaltyAreaEntries,5,14
DistanceCovered,111012,110484
Sprints,133,143
Attacks,117,108
ChanceBuildingRate,5.1,13.9
Possession,55.7,44.3
