,oita-trinita,kashima-antlers
ExpG,0.194,0.806
Shots,1,7
ShotsOnTarget,0,0
ShotsFromPK,0,0
Passes,474,495
Crosses,11,18
DirectFK,9,7
IndirectFK,0,3
CK,1,4
Throwin,33,42
Dribbling,8,16
Tackles,34,27
Clearances,32,15
Intercepts,1,2
Offsides,3,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,13,47
PenaltyAreaEntries,3,10
DistanceCovered,121390,120031
Sprints,187,217
Attacks,140,132
ChanceBuildingRate,0.7,5.3
Possession,48.7,51.3
