,fc-tokyo,kawasaki-frontale
ExpG,0.392,1.43
Shots,4,13
ShotsOnTarget,3,6
ShotsFromPK,0,0
Passes,426,577
Crosses,13,9
DirectFK,11,11
IndirectFK,1,2
CK,6,9
Throwin,20,18
Dribbling,11,13
Tackles,31,24
Clearances,20,17
Intercepts,0,1
Offsides,2,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,27,48
PenaltyAreaEntries,11,17
DistanceCovered,112850,112029
Sprints,201,200
Attacks,122,126
ChanceBuildingRate,3.3,10.3
Possession,45.3,54.7
