,shonan-bellmare,sanfrecce-hiroshima
ExpG,3.195,0.065
Shots,26,2
ShotsOnTarget,4,0
ShotsFromPK,0,0
Passes,682,188
Crosses,28,4
DirectFK,5,10
IndirectFK,2,2
CK,5,2
Throwin,22,8
Dribbling,16,9
Tackles,14,18
Clearances,5,34
Intercepts,0,2
Offsides,2,2
YellowCards,0,2
RedCards,0,1
30mLineEntries,103,5
PenaltyAreaEntries,21,0
DistanceCovered,115289,105004
Sprints,173,104
Attacks,110,104
ChanceBuildingRate,23.6,1.9
Possession,70,30
