,yokohama-fa-marinos,vissel-kobe
ExpG,1.602,0.699
Shots,15,7
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,650,480
Crosses,20,3
DirectFK,12,12
IndirectFK,2,0
CK,4,0
Throwin,27,33
Dribbling,7,6
Tackles,29,25
Clearances,11,20
Intercepts,3,3
Offsides,0,2
YellowCards,0,0
RedCards,0,0
30mLineEntries,54,20
PenaltyAreaEntries,13,4
DistanceCovered,118366,116296
Sprints,198,185
Attacks,120,126
ChanceBuildingRate,12.5,5.6
Possession,54.5,45.5
