,consadole-sapporo,yokohama-fc
ExpG,1.922,0.666
Shots,23,4
ShotsOnTarget,11,2
ShotsFromPK,0,0
Passes,585,420
Crosses,16,9
DirectFK,4,17
IndirectFK,0,3
CK,6,2
Throwin,20,21
Dribbling,14,6
Tackles,16,14
Clearances,11,19
Intercepts,1,1
Offsides,3,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,49,21
PenaltyAreaEntries,25,4
DistanceCovered,118121,117502
Sprints,175,166
Attacks,110,120
ChanceBuildingRate,20.9,3.3
Possession,54.3,45.7
