,kawasaki-frontale,sagan-tosu
ExpG,1.019,0.553
Shots,10,8
ShotsOnTarget,5,1
ShotsFromPK,0,0
Passes,593,493
Crosses,19,6
DirectFK,12,10
IndirectFK,0,2
CK,5,2
Throwin,18,23
Dribbling,16,9
Tackles,20,22
Clearances,13,21
Intercepts,2,1
Offsides,2,0
YellowCards,1,0
RedCards,0,1
30mLineEntries,70,23
PenaltyAreaEntries,19,5
DistanceCovered,118824,123127
Sprints,213,182
Attacks,120,114
ChanceBuildingRate,8.3,7.0
Possession,52.7,47.3
