,fc-tokyo,urawa-red-diamonds
ExpG,2.346,0.7
Shots,16,14
ShotsOnTarget,6,5
ShotsFromPK,0,0
Passes,324,625
Crosses,15,17
DirectFK,10,11
IndirectFK,1,0
CK,3,3
Throwin,20,21
Dribbling,8,17
Tackles,25,17
Clearances,24,25
Intercepts,5,3
Offsides,1,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,23,63
PenaltyAreaEntries,9,14
DistanceCovered,113194,109271
Sprints,178,137
Attacks,119,119
ChanceBuildingRate,13.4,11.8
Possession,35.7,64.3
