,cerezo-osaka,shonan-bellmare
ExpG,1.989,1.397
Shots,20,9
ShotsOnTarget,5,5
ShotsFromPK,1,0
Passes,620,275
Crosses,27,5
DirectFK,10,8
IndirectFK,0,1
CK,10,2
Throwin,18,12
Dribbling,17,8
Tackles,12,20
Clearances,10,31
Intercepts,0,2
Offsides,1,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,53,22
PenaltyAreaEntries,15,6
DistanceCovered,108781,114574
Sprints,129,137
Attacks,115,95
ChanceBuildingRate,17.4,9.5
Possession,62.3,37.7
