,avispa-fukuoka,kashiwa-reysol
ExpG,0.761,1.675
Shots,10,12
ShotsOnTarget,4,4
ShotsFromPK,0,0
Passes,309,436
Crosses,11,17
DirectFK,7,9
IndirectFK,0,1
CK,12,6
Throwin,38,29
Dribbling,15,11
Tackles,20,24
Clearances,27,32
Intercepts,1,3
Offsides,1,0
YellowCards,3,2
RedCards,0,0
30mLineEntries,17,33
PenaltyAreaEntries,11,10
DistanceCovered,109815,107435
Sprints,178,153
Attacks,136,128
ChanceBuildingRate,7.4,9.4
Possession,48,52
