Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
22,2019-10-14,consadole-sapporo,1,3-0,3,0,1,0,パロ瑞穂,8895,晴,51,47,0.123,14,0.214,0.437,13.9,10.83,87.8,14.56,"['山崎', 'マテウス', '稲垣']",マッシモ　フィッカデンティ
23,2019-10-18,kawasaki-frontale,7,0-3,0,3,2,1,等々力,10161,曇,40,43,0.135,15,0.0,0.527,15.17,13.57,90.36,12.32,[''],マッシモ　フィッカデンティ
33,2019-10-21,yokohama-fa-marinos,8,1-2,1,2,2,1,日産ス,6607,晴,33,33,0.076,10,0.1,0.434,10.47,9.02,113.66,21.49,['マテウス'],マッシモ　フィッカデンティ
24,2019-10-24,vegalta-sendai,2,1-0,1,0,1,0,パロ瑞穂,9367,晴,52,95,0.129,17,0.059,0.612,19.3,13.92,99.29,11.18,['稲垣'],マッシモ　フィッカデンティ
25,2019-10-31,kashima-antlers,3,2-0,2,0,1,1,カシマ,8912,晴,42,45,0.068,9,0.222,0.424,8.76,6.49,92.79,20.54,"['金崎', 'マテウス']",マッシモ　フィッカデンティ
26,2019-11-03,sagan-tosu,17,0-0,0,0,0,1,駅スタ,6912,晴,30,51,0.058,6,0.0,0.491,13.61,12.2,71.99,13.57,[''],マッシモ　フィッカデンティ
7,2019-11-11,sanfrecce-hiroshima,16,0-2,0,2,2,1,Ｅスタ,2508,晴,34,48,0.026,3,0.0,0.637,15.85,15.72,83.26,13.78,[''],マッシモ　フィッカデンティ
27,2019-11-15,fc-tokyo,6,1-0,1,0,1,0,豊田ス,16709,曇,52,61,0.107,13,0.077,0.522,12.65,11.85,87.83,8.76,['マテウス'],マッシモ　フィッカデンティ
28,2019-11-21,shonan-bellmare,10,3-1,3,1,1,0,豊田ス,15480,晴,45,72,0.124,14,0.214,0.601,18.26,15.65,103.74,9.09,"['マテウス', '阿部', 'Ｇシャビエル']",マッシモ　フィッカデンティ
30,2019-11-28,oita-trinita,18,0-0,0,0,0,0,パロ瑞穂,9085,晴,57,58,0.083,10,0.0,0.477,16.52,11.56,102.3,10.62,[''],マッシモ　フィッカデンティ
31,2019-12-05,kashiwa-reysol,5,1-0,1,0,1,1,三協Ｆ柏,4991,雨のち曇,39,46,0.062,8,0.125,0.486,12.16,10.11,103.69,17.5,['相馬'],マッシモ　フィッカデンティ
32,2019-12-12,yokohama-fc,9,0-0,0,0,0,0,パロ瑞穂,10009,曇,63,58,0.151,16,0.0,0.472,17.9,15.48,86.42,7.86,[''],マッシモ　フィッカデンティ
34,2019-12-19,sanfrecce-hiroshima,16,1-0,1,0,1,0,豊田ス,16825,晴,49,30,0.109,12,0.083,0.496,14.78,14.56,94.19,24.03,['前田'],マッシモ　フィッカデンティ
