,kashima-antlers,shimizu-s-pulse
ExpG,2.597,1.004
Shots,25,11
ShotsOnTarget,9,0
ShotsFromPK,0,0
Passes,479,553
Crosses,11,14
DirectFK,18,14
IndirectFK,1,2
CK,7,7
Throwin,18,20
Dribbling,10,10
Tackles,24,20
Clearances,23,20
Intercepts,2,3
Offsides,2,1
YellowCards,0,3
RedCards,0,0
30mLineEntries,38,32
PenaltyAreaEntries,13,17
DistanceCovered,117696,115578
Sprints,153,143
Attacks,121,124
ChanceBuildingRate,20.7,8.9
Possession,46.6,53.4
