,gamba-osaka,fc-tokyo
ExpG,1.554,1.972
Shots,18,13
ShotsOnTarget,8,5
ShotsFromPK,0,1
Passes,600,358
Crosses,12,5
DirectFK,10,13
IndirectFK,1,0
CK,5,6
Throwin,14,16
Dribbling,15,6
Tackles,20,20
Clearances,12,23
Intercepts,4,3
Offsides,1,1
YellowCards,1,3
RedCards,0,0
30mLineEntries,50,47
PenaltyAreaEntries,12,7
DistanceCovered,109795,111581
Sprints,163,190
Attacks,114,115
ChanceBuildingRate,15.8,11.3
Possession,57.2,42.8
