,kashiwa-reysol,consadole-sapporo
ExpG,2.361,3.582
Shots,26,27
ShotsOnTarget,12,7
ShotsFromPK,0,0
Passes,429,507
Crosses,13,22
DirectFK,8,9
IndirectFK,0,2
CK,7,7
Throwin,17,26
Dribbling,16,24
Tackles,40,25
Clearances,40,17
Intercepts,6,2
Offsides,2,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,47,55
PenaltyAreaEntries,16,22
DistanceCovered,116872,119540
Sprints,209,204
Attacks,150,156
ChanceBuildingRate,17.3,17.3
Possession,49.4,50.6
