,kashiwa-reysol,vissel-kobe
ExpG,1.842,4.095
Shots,11,21
ShotsOnTarget,7,9
ShotsFromPK,0,1
Passes,402,697
Crosses,13,14
DirectFK,6,11
IndirectFK,0,0
CK,3,7
Throwin,15,23
Dribbling,9,14
Tackles,23,14
Clearances,29,20
Intercepts,2,3
Offsides,0,0
YellowCards,2,1
RedCards,1,0
30mLineEntries,28,51
PenaltyAreaEntries,12,15
DistanceCovered,115471,116514
Sprints,205,189
Attacks,113,122
ChanceBuildingRate,9.7,17.2
Possession,38.6,61.4
