,nagoya-grampus-eight,vissel-kobe
ExpG,2.317,0.521
Shots,13,9
ShotsOnTarget,6,2
ShotsFromPK,2,0
Passes,408,586
Crosses,16,9
DirectFK,9,10
IndirectFK,1,2
CK,7,3
Throwin,23,17
Dribbling,13,5
Tackles,23,16
Clearances,15,18
Intercepts,3,2
Offsides,1,1
YellowCards,0,4
RedCards,0,0
30mLineEntries,29,51
PenaltyAreaEntries,17,4
DistanceCovered,112056,104489
Sprints,164,160
Attacks,118,116
ChanceBuildingRate,11.0,7.8
Possession,41.6,58.4
