,shonan-bellmare,kashima-antlers
ExpG,0.875,1.38
Shots,10,17
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,320,655
Crosses,11,23
DirectFK,9,13
IndirectFK,2,0
CK,3,6
Throwin,21,26
Dribbling,9,11
Tackles,20,15
Clearances,39,13
Intercepts,1,1
Offsides,0,2
YellowCards,1,3
RedCards,0,0
30mLineEntries,23,53
PenaltyAreaEntries,8,17
DistanceCovered,120406,114767
Sprints,209,166
Attacks,120,126
ChanceBuildingRate,8.3,13.5
Possession,39.2,60.8
