,yokohama-fc,kashima-antlers
ExpG,0.367,0.938
Shots,3,15
ShotsOnTarget,1,5
ShotsFromPK,0,0
Passes,342,624
Crosses,9,25
DirectFK,14,15
IndirectFK,1,2
CK,1,6
Throwin,26,28
Dribbling,10,10
Tackles,23,30
Clearances,28,23
Intercepts,1,2
Offsides,2,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,21,65
PenaltyAreaEntries,6,20
DistanceCovered,114862,111056
Sprints,126,148
Attacks,128,128
ChanceBuildingRate,2.3,11.7
Possession,39.8,60.2
