,sanfrecce-hiroshima,sagan-tosu
ExpG,1.72,0.373
Shots,18,5
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,610,555
Crosses,18,8
DirectFK,14,10
IndirectFK,2,1
CK,5,1
Throwin,18,13
Dribbling,12,7
Tackles,19,17
Clearances,8,16
Intercepts,3,3
Offsides,1,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,61,37
PenaltyAreaEntries,17,7
DistanceCovered,117435,118504
Sprints,176,137
Attacks,109,103
ChanceBuildingRate,16.5,4.9
Possession,50.2,49.8
