,kawasaki-frontale,yokohama-fa-marinos
ExpG,2.452,0.737
Shots,24,8
ShotsOnTarget,11,2
ShotsFromPK,1,0
Passes,546,389
Crosses,25,10
DirectFK,13,10
IndirectFK,1,2
CK,17,5
Throwin,27,17
Dribbling,18,11
Tackles,24,32
Clearances,11,36
Intercepts,2,2
Offsides,2,1
YellowCards,2,4
RedCards,0,1
30mLineEntries,63,22
PenaltyAreaEntries,25,6
DistanceCovered,110029,106675
Sprints,150,157
Attacks,130,109
ChanceBuildingRate,18.5,7.3
Possession,56.7,43.3
