,kashiwa-reysol,kashima-antlers
ExpG,0.744,1.877
Shots,11,22
ShotsOnTarget,4,8
ShotsFromPK,0,0
Passes,281,473
Crosses,8,18
DirectFK,17,11
IndirectFK,5,3
CK,4,7
Throwin,21,22
Dribbling,5,9
Tackles,20,9
Clearances,20,13
Intercepts,0,0
Offsides,3,3
YellowCards,4,1
RedCards,1,0
30mLineEntries,21,62
PenaltyAreaEntries,10,21
DistanceCovered,101261,108953
Sprints,160,122
Attacks,113,116
ChanceBuildingRate,9.7,19.0
Possession,42.8,57.2
