,fc-tokyo,shimizu-s-pulse
ExpG,1.876,0.732
Shots,14,9
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,397,569
Crosses,10,14
DirectFK,21,9
IndirectFK,0,0
CK,5,3
Throwin,17,19
Dribbling,7,6
Tackles,24,17
Clearances,13,12
Intercepts,1,2
Offsides,0,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,31,52
PenaltyAreaEntries,13,12
DistanceCovered,114890,111651
Sprints,211,144
Attacks,118,103
ChanceBuildingRate,11.9,8.7
Possession,43.8,56.2
