,nagoya-grampus-eight,shonan-bellmare
ExpG,0.665,1.487
Shots,14,6
ShotsOnTarget,6,2
ShotsFromPK,0,0
Passes,717,403
Crosses,7,6
DirectFK,15,6
IndirectFK,0,1
CK,2,2
Throwin,15,20
Dribbling,11,13
Tackles,17,13
Clearances,11,10
Intercepts,2,2
Offsides,1,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,43,31
PenaltyAreaEntries,13,3
DistanceCovered,115830,117014
Sprints,165,170
Attacks,113,109
ChanceBuildingRate,12.4,5.5
Possession,60.1,39.9
