,yokohama-fa-marinos,shimizu-s-pulse
ExpG,2.038,0.642
Shots,19,6
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,823,347
Crosses,45,10
DirectFK,5,9
IndirectFK,3,2
CK,7,2
Throwin,24,14
Dribbling,19,10
Tackles,22,28
Clearances,12,38
Intercepts,0,4
Offsides,2,3
YellowCards,0,1
RedCards,0,1
30mLineEntries,122,15
PenaltyAreaEntries,39,5
DistanceCovered,123474,110801
Sprints,180,150
Attacks,119,115
ChanceBuildingRate,16.0,5.2
Possession,63.7,36.3
