,consadole-sapporo,shonan-bellmare
ExpG,2.062,0.488
Shots,15,5
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,538,363
Crosses,12,9
DirectFK,13,19
IndirectFK,0,3
CK,4,4
Throwin,21,26
Dribbling,12,8
Tackles,22,22
Clearances,34,28
Intercepts,1,2
Offsides,3,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,29,21
PenaltyAreaEntries,18,3
DistanceCovered,116804,118820
Sprints,209,219
Attacks,123,131
ChanceBuildingRate,12.2,3.8
Possession,55.2,44.8
