,oita-trinita,kashima-antlers
ExpG,0.328,2.456
Shots,7,16
ShotsOnTarget,1,5
ShotsFromPK,0,1
Passes,503,540
Crosses,11,5
DirectFK,9,10
IndirectFK,3,2
CK,3,0
Throwin,20,25
Dribbling,2,6
Tackles,17,23
Clearances,12,17
Intercepts,1,4
Offsides,2,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,29,28
PenaltyAreaEntries,4,10
DistanceCovered,119007,114580
Sprints,175,165
Attacks,118,121
ChanceBuildingRate,5.9,13.2
Possession,49.8,50.2
