,shimizu-s-pulse,fc-tokyo
ExpG,0.821,2.526
Shots,16,12
ShotsOnTarget,5,6
ShotsFromPK,0,2
Passes,551,303
Crosses,14,13
DirectFK,10,8
IndirectFK,1,1
CK,5,6
Throwin,22,24
Dribbling,28,10
Tackles,20,32
Clearances,14,19
Intercepts,0,3
Offsides,1,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,50,30
PenaltyAreaEntries,16,12
DistanceCovered,108495,106227
Sprints,148,181
Attacks,118,118
ChanceBuildingRate,13.6,10.2
Possession,59.9,40.1
