,vegalta-sendai,shimizu-s-pulse
ExpG,0.968,0.896
Shots,13,14
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,461,596
Crosses,20,24
DirectFK,9,12
IndirectFK,0,4
CK,3,5
Throwin,17,31
Dribbling,13,8
Tackles,27,14
Clearances,33,15
Intercepts,3,0
Offsides,4,0
YellowCards,2,1
RedCards,0,0
30mLineEntries,43,56
PenaltyAreaEntries,17,14
DistanceCovered,117003,113803
Sprints,155,173
Attacks,113,128
ChanceBuildingRate,11.5,10.9
Possession,44.7,55.3
