,fc-tokyo,kawasaki-frontale
ExpG,0.751,2.322
Shots,12,17
ShotsOnTarget,3,6
ShotsFromPK,0,0
Passes,370,600
Crosses,10,6
DirectFK,15,12
IndirectFK,1,4
CK,8,6
Throwin,18,20
Dribbling,19,12
Tackles,20,29
Clearances,19,21
Intercepts,3,2
Offsides,4,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,43,59
PenaltyAreaEntries,13,24
DistanceCovered,104235,106560
Sprints,171,155
Attacks,118,116
ChanceBuildingRate,10.2,14.7
Possession,43.5,56.5
