,kawasaki-frontale,urawa-red-diamonds
ExpG,3.907,0.944
Shots,24,4
ShotsOnTarget,8,1
ShotsFromPK,0,1
Passes,910,469
Crosses,23,7
DirectFK,8,8
IndirectFK,1,5
CK,6,1
Throwin,18,14
Dribbling,16,3
Tackles,18,20
Clearances,18,26
Intercepts,6,1
Offsides,4,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,104,20
PenaltyAreaEntries,35,6
DistanceCovered,117588,117318
Sprints,152,170
Attacks,109,103
ChanceBuildingRate,22.0,3.9
Possession,61.7,38.3
