,oita-trinita,vegalta-sendai
ExpG,0.513,0.982
Shots,7,12
ShotsOnTarget,1,4
ShotsFromPK,0,0
Passes,743,254
Crosses,25,6
DirectFK,5,11
IndirectFK,2,1
CK,10,2
Throwin,14,16
Dribbling,11,5
Tackles,10,18
Clearances,8,31
Intercepts,6,3
Offsides,1,2
YellowCards,2,0
RedCards,0,0
30mLineEntries,62,18
PenaltyAreaEntries,13,5
DistanceCovered,113601,116421
Sprints,187,166
Attacks,114,103
ChanceBuildingRate,6.1,11.7
Possession,70.7,29.3
