,shimizu-s-pulse,shonan-bellmare
ExpG,1.83,0.522
Shots,15,6
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,627,400
Crosses,18,12
DirectFK,4,8
IndirectFK,0,2
CK,7,4
Throwin,24,24
Dribbling,19,13
Tackles,22,24
Clearances,21,27
Intercepts,0,0
Offsides,2,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,52,27
PenaltyAreaEntries,20,6
DistanceCovered,113768,112796
Sprints,191,166
Attacks,117,123
ChanceBuildingRate,12.8,4.9
Possession,57,43
