,cerezo-osaka,consadole-sapporo
ExpG,1.318,1.739
Shots,9,15
ShotsOnTarget,2,3
ShotsFromPK,0,0
Passes,334,620
Crosses,3,30
DirectFK,21,9
IndirectFK,2,0
CK,1,9
Throwin,9,19
Dribbling,5,17
Tackles,10,20
Clearances,29,6
Intercepts,1,1
Offsides,0,2
YellowCards,0,4
RedCards,0,0
30mLineEntries,20,62
PenaltyAreaEntries,7,14
DistanceCovered,114544,112070
Sprints,123,129
Attacks,100,106
ChanceBuildingRate,9.0,14.2
Possession,38.7,61.3
