,gamba-osaka,sanfrecce-hiroshima
Shots,16,10
ShotsOnTarget,8,3
ShotsFromPK,0,0
Passes,676,537
Crosses,16,7
DirectFK,11,12
IndirectFK,0,3
CK,8,1
Throwin,13,10
Dribbling,15,14
Tackles,29,23
Clearances,13,24
Intercepts,7,1
Offsides,3,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,70,34
PenaltyAreaEntries,20,7
DistanceCovered,117689,113230
Sprints,178,136
Attacks,119,110
ChanceBuildingRate,13.4,9.1
Possession,54.4,45.6
