,kashiwa-reysol,albirex-niigata
Shots,10,18
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,334,457
Crosses,20,22
DirectFK,18,9
IndirectFK,3,2
CK,10,5
Throwin,27,23
Dribbling,13,14
Tackles,13,28
Clearances,25,37
Intercepts,1,2
Offsides,2,2
YellowCards,3,3
RedCards,1,0
30mLineEntries,34,49
PenaltyAreaEntries,17,18
DistanceCovered,101695,108575
Sprints,144,125
Attacks,129,117
ChanceBuildingRate,7.8,15.4
Possession,42.7,57.3
