,consadole-sapporo,urawa-red-diamonds
Shots,13,12
ShotsOnTarget,4,1
ShotsFromPK,0,0
Passes,319,580
Crosses,11,16
DirectFK,22,14
IndirectFK,1,0
CK,5,5
Throwin,7,21
Dribbling,11,17
Tackles,24,17
Clearances,23,19
Intercepts,4,2
Offsides,0,1
YellowCards,4,0
RedCards,0,1
30mLineEntries,37,48
PenaltyAreaEntries,16,15
DistanceCovered,109422,98993
Sprints,108,129
Attacks,103,109
ChanceBuildingRate,12.6,11.0
Possession,39.8,60.2
