,jubilo-iwata,omiya-ardija
Shots,14,7
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,347,472
Crosses,18,20
DirectFK,16,10
IndirectFK,5,0
CK,9,1
Throwin,18,26
Dribbling,19,11
Tackles,17,19
Clearances,25,24
Intercepts,2,2
Offsides,0,5
YellowCards,2,2
RedCards,0,0
30mLineEntries,38,26
PenaltyAreaEntries,16,7
DistanceCovered,102665,101082
Sprints,129,136
Attacks,113,105
ChanceBuildingRate,12.4,6.7
Possession,45.9,54.1
