,omiya-ardija,kashiwa-reysol
Shots,15,13
ShotsOnTarget,8,6
ShotsFromPK,0,0
Passes,333,511
Crosses,18,23
DirectFK,13,11
IndirectFK,5,4
CK,3,10
Throwin,19,24
Dribbling,13,13
Tackles,23,14
Clearances,30,27
Intercepts,2,3
Offsides,4,5
YellowCards,3,1
RedCards,0,0
30mLineEntries,25,35
PenaltyAreaEntries,14,20
DistanceCovered,106704,106706
Sprints,168,168
Attacks,110,124
ChanceBuildingRate,13.6,10.5
Possession,44.4,55.6
