,kashiwa-reysol,vissel-kobe
Shots,11,8
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,566,429
Crosses,14,9
DirectFK,15,13
IndirectFK,3,2
CK,6,4
Throwin,26,21
Dribbling,14,4
Tackles,5,18
Clearances,17,14
Intercepts,2,1
Offsides,2,3
YellowCards,4,1
RedCards,0,1
30mLineEntries,42,30
PenaltyAreaEntries,15,7
DistanceCovered,107654,102007
Sprints,147,129
Attacks,110,106
ChanceBuildingRate,10.0,7.5
Possession,53.8,46.2
