,kawasaki-frontale,omiya-ardija
Shots,15,14
ShotsOnTarget,7,5
ShotsFromPK,1,0
Passes,607,460
Crosses,14,15
DirectFK,14,7
IndirectFK,2,2
CK,6,8
Throwin,22,23
Dribbling,10,15
Tackles,22,13
Clearances,25,24
Intercepts,2,1
Offsides,2,2
YellowCards,0,3
RedCards,0,1
30mLineEntries,53,38
PenaltyAreaEntries,19,17
DistanceCovered,113498,114144
Sprints,158,169
Attacks,124,121
ChanceBuildingRate,12.1,11.6
Possession,52.8,47.2
