,gamba-osaka,albirex-niigata
Shots,13,10
ShotsOnTarget,3,6
ShotsFromPK,0,0
Passes,489,416
Crosses,11,8
DirectFK,10,16
IndirectFK,1,4
CK,2,2
Throwin,29,25
Dribbling,12,13
Tackles,28,24
Clearances,30,27
Intercepts,1,2
Offsides,4,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,40,32
PenaltyAreaEntries,19,9
DistanceCovered,111813,111137
Sprints,187,174
Attacks,142,151
ChanceBuildingRate,9.2,6.6
Possession,53.3,46.7
