,urawa-red-diamonds,jubilo-iwata
Shots,15,12
ShotsOnTarget,2,6
ShotsFromPK,0,0
Passes,589,301
Crosses,23,10
DirectFK,12,10
IndirectFK,0,5
CK,4,1
Throwin,20,25
Dribbling,14,3
Tackles,15,19
Clearances,16,22
Intercepts,1,2
Offsides,5,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,48,32
PenaltyAreaEntries,26,14
DistanceCovered,112246,115220
Sprints,174,188
Attacks,116,114
ChanceBuildingRate,12.9,10.5
Possession,62.3,37.7
