,kashima-antlers,kashiwa-reysol
Shots,25,7
ShotsOnTarget,7,1
ShotsFromPK,0,0
Passes,421,520
Crosses,17,10
DirectFK,12,16
IndirectFK,2,3
CK,13,8
Throwin,24,17
Dribbling,16,12
Tackles,16,25
Clearances,17,35
Intercepts,2,3
Offsides,3,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,55,29
PenaltyAreaEntries,31,9
DistanceCovered,106712,110395
Sprints,175,160
Attacks,123,113
ChanceBuildingRate,20.3,6.2
Possession,46.8,53.2
