,albirex-niigata,urawa-red-diamonds
Shots,18,19
ShotsOnTarget,5,9
ShotsFromPK,0,0
Passes,334,557
Crosses,14,9
DirectFK,15,20
IndirectFK,3,3
CK,7,5
Throwin,20,20
Dribbling,17,7
Tackles,23,28
Clearances,26,16
Intercepts,1,5
Offsides,3,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,33,42
PenaltyAreaEntries,14,12
DistanceCovered,113171,109247
Sprints,173,162
Attacks,126,129
ChanceBuildingRate,14.3,14.7
Possession,39.1,60.9
