,yokohama-fa-marinos,consadole-sapporo
Shots,14,14
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,443,412
Crosses,15,21
DirectFK,16,10
IndirectFK,0,0
CK,2,11
Throwin,21,19
Dribbling,22,6
Tackles,20,22
Clearances,32,27
Intercepts,2,2
Offsides,0,0
YellowCards,0,1
RedCards,0,0
30mLineEntries,40,40
PenaltyAreaEntries,10,19
DistanceCovered,111820,115453
Sprints,162,184
Attacks,122,126
ChanceBuildingRate,11.5,11.1
Possession,52.8,47.2
