,vegalta-sendai,ventforet-kofu
Shots,18,3
ShotsOnTarget,8,1
ShotsFromPK,0,0
Passes,561,323
Crosses,20,8
DirectFK,18,19
IndirectFK,2,3
CK,2,6
Throwin,23,15
Dribbling,22,6
Tackles,19,29
Clearances,15,32
Intercepts,1,5
Offsides,3,2
YellowCards,1,2
RedCards,0,1
30mLineEntries,72,16
PenaltyAreaEntries,21,4
DistanceCovered,111579,105553
Sprints,164,155
Attacks,142,139
ChanceBuildingRate,12.7,2.2
Possession,59.2,40.8
