,vissel-kobe,ventforet-kofu
Shots,23,9
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,687,326
Crosses,23,10
DirectFK,14,11
IndirectFK,1,3
CK,6,1
Throwin,34,15
Dribbling,17,11
Tackles,19,29
Clearances,7,26
Intercepts,0,0
Offsides,3,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,88,27
PenaltyAreaEntries,26,4
DistanceCovered,111027,114616
Sprints,150,163
Attacks,136,129
ChanceBuildingRate,16.9,7.0
Possession,63,37
