,cerezo-osaka,urawa-red-diamonds
Shots,16,16
ShotsOnTarget,8,6
ShotsFromPK,0,0
Passes,318,522
Crosses,10,20
DirectFK,12,10
IndirectFK,0,3
CK,6,6
Throwin,16,22
Dribbling,6,18
Tackles,19,13
Clearances,25,16
Intercepts,4,2
Offsides,3,0
YellowCards,3,1
RedCards,0,0
30mLineEntries,27,72
PenaltyAreaEntries,12,21
DistanceCovered,108755,104905
Sprints,138,100
Attacks,111,109
ChanceBuildingRate,14.4,14.7
Possession,40.5,59.5
