,kashima-antlers,ventforet-kofu
Shots,13,10
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,617,324
Crosses,19,11
DirectFK,11,16
IndirectFK,5,3
CK,1,0
Throwin,20,27
Dribbling,16,14
Tackles,23,15
Clearances,12,22
Intercepts,3,2
Offsides,4,5
YellowCards,1,1
RedCards,0,0
30mLineEntries,55,25
PenaltyAreaEntries,17,8
DistanceCovered,106978,108766
Sprints,168,168
Attacks,116,123
ChanceBuildingRate,11.2,8.1
Possession,61.6,38.4
