,yokohama-fa-marinos,omiya-ardija
Shots,28,14
ShotsOnTarget,6,2
ShotsFromPK,0,0
Passes,654,314
Crosses,36,14
DirectFK,23,8
IndirectFK,3,0
CK,11,4
Throwin,30,13
Dribbling,24,5
Tackles,17,20
Clearances,27,56
Intercepts,0,3
Offsides,0,3
YellowCards,1,5
RedCards,0,1
30mLineEntries,56,33
PenaltyAreaEntries,25,13
DistanceCovered,119965,120286
Sprints,210,176
Attacks,147,110
ChanceBuildingRate,19.0,12.7
Possession,62.3,37.7
