,kashiwa-reysol,shimizu-s-pulse
Shots,20,9
ShotsOnTarget,4,2
ShotsFromPK,0,0
Passes,702,318
Crosses,19,10
DirectFK,10,8
IndirectFK,7,0
CK,8,2
Throwin,33,21
Dribbling,19,7
Tackles,17,20
Clearances,16,42
Intercepts,2,2
Offsides,0,7
YellowCards,1,1
RedCards,0,0
30mLineEntries,49,27
PenaltyAreaEntries,19,9
DistanceCovered,117834,117958
Sprints,145,144
Attacks,141,121
ChanceBuildingRate,14.2,7.4
Possession,63,37
