,jubilo-iwata,urawa-red-diamonds
Shots,8,18
ShotsOnTarget,3,5
ShotsFromPK,0,0
Passes,329,660
Crosses,11,18
DirectFK,12,10
IndirectFK,7,2
CK,2,2
Throwin,14,11
Dribbling,10,9
Tackles,10,17
Clearances,25,21
Intercepts,0,3
Offsides,2,7
YellowCards,0,2
RedCards,0,0
30mLineEntries,22,64
PenaltyAreaEntries,6,21
DistanceCovered,109809,107255
Sprints,140,154
Attacks,108,99
ChanceBuildingRate,7.4,18.2
Possession,37.1,62.9
