,ventforet-kofu,kashima-antlers
Shots,2,14
ShotsOnTarget,1,2
ShotsFromPK,1,0
Passes,380,531
Crosses,13,11
DirectFK,10,9
IndirectFK,3,3
CK,4,5
Throwin,26,30
Dribbling,13,11
Tackles,31,16
Clearances,27,24
Intercepts,5,5
Offsides,3,3
YellowCards,2,1
RedCards,0,0
30mLineEntries,30,63
PenaltyAreaEntries,5,9
DistanceCovered,112007,110149
Sprints,176,174
Attacks,138,138
ChanceBuildingRate,1.4,10.1
Possession,46.1,53.9
