,sanfrecce-hiroshima,omiya-ardija
Shots,21,12
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,594,414
Crosses,18,9
DirectFK,9,7
IndirectFK,1,4
CK,6,5
Throwin,21,17
Dribbling,12,2
Tackles,12,9
Clearances,21,23
Intercepts,2,1
Offsides,4,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,46,26
PenaltyAreaEntries,19,9
DistanceCovered,108648,115309
Sprints,98,137
Attacks,115,110
ChanceBuildingRate,18.3,10.9
Possession,57.7,42.3
