,kawasaki-frontale,kashiwa-reysol
Shots,15,12
ShotsOnTarget,6,8
ShotsFromPK,0,0
Passes,712,458
Crosses,12,15
DirectFK,11,8
IndirectFK,4,7
CK,7,9
Throwin,21,22
Dribbling,9,17
Tackles,29,26
Clearances,27,17
Intercepts,4,5
Offsides,7,4
YellowCards,2,2
RedCards,0,1
30mLineEntries,54,37
PenaltyAreaEntries,14,13
DistanceCovered,112102,115720
Sprints,164,170
Attacks,135,136
ChanceBuildingRate,11.1,8.8
Possession,57.5,42.5
