,jubilo-iwata,vissel-kobe
Shots,21,7
ShotsOnTarget,8,1
ShotsFromPK,0,0
Passes,467,377
Crosses,22,16
DirectFK,21,14
IndirectFK,4,4
CK,6,1
Throwin,19,16
Dribbling,15,6
Tackles,17,17
Clearances,17,25
Intercepts,0,1
Offsides,4,4
YellowCards,2,1
RedCards,0,1
30mLineEntries,51,26
PenaltyAreaEntries,24,14
DistanceCovered,104519,98777
Sprints,174,147
Attacks,102,92
ChanceBuildingRate,20.6,7.6
Possession,53,47
