,vissel-kobe,kashiwa-reysol
Shots,11,13
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,412,461
Crosses,13,14
DirectFK,17,16
IndirectFK,4,5
CK,1,6
Throwin,24,26
Dribbling,11,11
Tackles,18,23
Clearances,24,19
Intercepts,1,3
Offsides,5,4
YellowCards,3,3
RedCards,1,0
30mLineEntries,43,41
PenaltyAreaEntries,14,13
DistanceCovered,108504,115982
Sprints,192,195
Attacks,134,144
ChanceBuildingRate,8.2,9.0
Possession,48.9,51.1
