,sanfrecce-hiroshima,ventforet-kofu
Shots,12,7
ShotsOnTarget,4,3
ShotsFromPK,0,0
Passes,583,551
Crosses,25,15
DirectFK,12,4
IndirectFK,0,4
CK,3,0
Throwin,19,18
Dribbling,14,8
Tackles,15,13
Clearances,11,23
Intercepts,3,1
Offsides,4,0
YellowCards,2,1
RedCards,0,0
30mLineEntries,54,44
PenaltyAreaEntries,10,7
DistanceCovered,116414,113882
Sprints,117,123
Attacks,104,96
ChanceBuildingRate,11.5,7.3
Possession,53.1,46.9
